Low(€/MWh),High(€/MWh),Last(€/MWh),WeightAvg.(€/MWh)
0.06,89.85,40.00,78.16
90.50,90.50,90.50,90.50
-20.00,91.30,30.77,71.86
3.10,104.77,95.81,75.71
0.00,0.00,0.00,0.00
44.01,107.42,103.20,77.11
54.12,101.59,78.00,77.64
68.90,294.55,84.99,80.94
0.00,0.00,0.00,0.00
65.00,109.29,98.74,82.64
43.53,117.99,95.19,84.37
0.00,0.00,0.00,0.00
36.03,107.99,82.95,85.44
36.78,97.50,76.00,81.35
70.03,109.50,86.59,83.22
74.00,74.00,74.00,74.00
58.56,99.49,93.92,81.27
41.16,106.10,90.36,83.63
0.00,0.00,0.00,0.00
38.53,101.20,81.88,84.64
43.51,94.49,56.39,84.02
43.67,94.70,60.00,85.70
81.57,82.99,81.57,82.91
22.90,92.90,35.02,76.90
18.09,93.96,56.50,78.44
86.74,89.09,86.74,87.41
41.51,94.44,63.04,81.18
51.12,96.68,64.01,82.43
8.01,96.00,60.00,85.23
82.50,88.76,82.50,83.54
26.17,94.05,26.17,77.72
26.37,95.23,42.40,77.66
81.52,81.52,81.52,81.52
33.35,97.60,70.00,81.03
54.70,97.60,78.00,83.75
-138.09,98.00,60.00,86.07
81.90,81.90,81.90,81.90
29.42,97.42,41.00,77.85
54.22,97.69,89.08,81.15
0.00,0.00,0.00,0.00
40.10,124.83,98.99,82.67
67.31,128.59,85.43,84.05
29.91,98.80,55.00,82.12
0.00,0.00,0.00,0.00
47.90,107.21,50.40,81.01
41.71,95.89,62.00,78.25
88.26,88.26,88.26,88.26
6.65,96.91,75.00,73.44
46.71,105.00,105.00,70.56
50.11,108.04,100.00,75.49
79.74,79.74,79.74,79.74
53.31,144.75,143.99,82.25
44.45,109.88,84.28,75.70
0.00,0.00,0.00,0.00
46.38,96.00,88.83,74.43
45.90,100.00,81.83,67.07
41.60,74.09,50.01,60.62
59.49,78.97,78.97,64.97
42.40,98.04,80.00,79.33
37.11,101.98,79.99,67.39
39.04,44.99,39.04,44.00
25.84,90.37,82.00,60.11
-2.00,88.83,-1.00,28.45
-65.90,70.13,26.00,14.69
33.17,40.21,33.17,35.18
-4.70,76.86,50.00,31.05
-26.00,56.10,-2.00,14.95
1.13,1.99,1.13,1.57
-5.00,21.97,0.00,3.85
-86.60,245.00,1.00,-1.50
-40.00,39.63,0.00,-11.63
-4.23,2.24,-4.22,-2.04
-47.26,54.49,1.00,-0.24
-31.95,11.48,-3.10,-2.70
-45.25,2.97,2.97,-25.30
-48.37,8.82,-0.80,-7.76
-79.99,0.60,-8.50,-33.79
-152.63,956.90,-25.00,-96.08
-86.99,-58.00,-83.29,-75.41
-101.34,21.53,-12.34,-42.18
-122.60,13.80,-20.00,-63.61
-187.10,-108.20,-148.40,-156.49
-198.85,-10.77,-119.80,-99.54
-259.28,-60.52,-117.39,-138.48
-372.06,-50.00,-164.73,-239.15
-208.95,-105.54,-105.54,-161.07
-277.00,-25.00,-102.62,-124.62
-364.51,-84.90,-200.00,-167.78
-541.49,-200.40,-541.49,-347.94
-607.51,-100.01,-520.01,-265.63
-744.87,5.00,-400.00,-384.91
-980.83,1.00,-450.00,-528.08
-523.23,-357.39,-478.50,-405.63
-1,056.69,-28.00,-349.19,-434.63
-1,128.58,-95.51,-270.00,-498.29
-772.25,-543.85,-545.25,-626.82
-950.62,-100.00,-387.13,-541.55
-867.57,-309.85,-559.90,-556.22
-778.10,-373.60,-500.00,-515.89
-822.21,-498.11,-632.25,-636.04
-887.88,-437.81,-580.00,-562.41
-901.96,-381.70,-583.18,-535.13
-570.23,-345.15,-368.00,-442.25
-809.99,-365.43,-520.00,-482.14
-656.49,-205.00,-494.99,-408.93
-335.24,-111.91,-171.00,-207.17
-407.64,-255.64,-255.64,-305.95
-585.21,-207.31,-320.00,-374.95
-447.28,-135.80,-200.00,-219.75
-155.39,-58.26,-58.26,-98.70
-320.45,-51.08,-99.90,-125.88
-243.40,-21.61,-80.00,-68.22
-62.00,0.97,-26.23,-24.38
-83.40,-29.57,-41.98,-60.62
-152.22,3.46,-100.00,-70.47
-85.29,4.60,-66.02,-22.53
-10.54,-1.86,-2.46,-3.50
-44.20,15.25,-8.48,-4.05
-44.40,5.79,-18.99,-1.71
-69.85,137.67,-15.00,7.83
-10.88,-4.07,-10.88,-6.74
-47.99,0.32,-35.30,-11.74
-55.56,5.91,-39.69,-6.46
10.11,24.76,10.11,22.18
-34.75,20.72,-5.50,1.18
-50.40,59.76,-50.10,25.06
50.32,113.01,67.00,99.78
0.00,0.00,0.00,0.00
-48.00,92.30,-20.00,62.25
11.70,108.61,64.00,86.35
0.00,0.00,0.00,0.00
51.03,148.14,88.83,114.84
70.50,156.20,91.19,123.07
78.45,204.81,114.30,130.96
127.38,127.38,127.38,127.38
41.47,125.00,79.10,104.72
75.11,134.86,111.60,118.00
135.04,156.49,135.04,146.95
98.30,175.50,156.39,136.84
98.85,192.33,160.49,148.40
112.44,170.00,165.00,143.17
137.98,137.98,137.98,137.98
126.88,177.50,147.25,143.09
131.54,261.30,261.30,151.19
137.50,169.00,169.00,149.93
114.70,210.89,136.80,152.96
130.66,214.73,175.00,150.28
115.66,341.40,140.00,134.56
0.00,0.00,0.00,0.00
115.23,171.69,153.10,144.25
84.00,153.99,145.00,135.54
0.00,0.00,0.00,0.00
90.00,147.52,110.00,129.50
111.48,152.10,132.55,125.54
98.24,151.59,131.00,125.04
131.76,132.17,131.76,131.96
86.41,158.33,143.00,132.30
97.30,156.27,122.06,128.24
0.00,0.00,0.00,0.00
107.82,150.38,141.42,123.83
87.39,138.53,105.90,116.66
-0.10,124.00,117.43,117.86
0.00,0.00,0.00,0.00
105.94,147.82,105.94,125.21
104.75,154.70,139.76,123.51
0.00,0.00,0.00,0.00
95.45,149.90,138.02,119.14
61.53,124.66,61.53,110.06
